pos,N,truth_vaf,mean_pooled_vaf,median_pooled_vaf,var_pooled_vaf,mean_abs_err,n_draws
769,1,0.4901950983822329,0.5840755832267407,1.0,0.23582370339301875,0.49250787000507085,187
850,1,0.4859046642747309,0.577571565071565,1.0,0.23387315491512872,0.48914900040861087,185
1018,1,0.4242611757174864,0.5684720996453382,1.0,0.23729962687418962,0.5010068962578048,182
2416,1,0.4865474847063016,0.4328275823492488,0.0,0.23683974969977076,0.48637449150494994,183
2789,1,0.4919875130072841,0.4138409047093257,0.0,0.2353069127207925,0.48874047684738786,185
3109,1,0.0271013754457463,0.02486450995337718,0.0,0.0038342979107516616,0.03939012573727111,185
3578,1,0.0510966893945617,0.04203244602065448,0.0,0.005462643177889722,0.05795329508984719,181
3594,1,0.4990145764630124,0.5930609192674042,1.0,0.23221171680038974,0.4890268536360183,179
3918,1,0.4981931578464643,0.4320269563625906,0.0,0.23820393807144388,0.4895893599432053,183
3970,1,0.4662096257280606,0.4356639817222457,0.0,0.23783750766950779,0.4833920136002363,174
4086,1,0.2696927106624928,0.5346382867991768,1.0,0.240292853006556,0.5080580523033217,171
4104,1,0.1061388598326359,0.46970381938736366,0.011363636363636364,0.23935776734779626,0.47125931027687407,158
5285,1,0.4955740578439965,0.5573365736827275,1.0,0.2371687092872232,0.4854537137394617,169
5985,1,0.4939467312348668,0.5899177692813881,1.0,0.2325478639151653,0.488389866810808,178
6392,1,0.4891950907311196,0.5831518305560599,1.0,0.2321510879781293,0.48611486159668543,180
6962,1,0.4836965811965812,0.4188721737057151,0.0,0.2353968942183784,0.4874678600664453,182
7175,1,0.457232208260551,0.5751969826330728,1.0,0.23246204572037438,0.49005249557709885,175
7256,1,0.1785159010600706,0.5045041791993011,0.5833333333333333,0.24025639086471892,0.49453140715120386,164
7274,1,0.2506899406651028,0.532143200230555,1.0,0.23916460952881324,0.5060183819452343,167
7609,1,0.4035710108767689,0.5698340726849499,1.0,0.23512482187701841,0.5001643785553496,171
7771,1,0.4908163265306122,0.41987630777708446,0.0,0.23711900113860224,0.4901091597064099,181
8206,1,0.4731519152529362,0.4154503081550958,0.0,0.23328681357579803,0.4833640008940203,181
8277,1,0.4620122496731126,0.4122792420708454,0.0,0.2356055846668756,0.4837387355104589,173
8701,1,0.3870197049733687,0.5604016251143459,1.0,0.23443529878156874,0.4987989188654278,187
8860,1,0.0396586345381526,0.04501915708812261,0.0,0.029981576899928083,0.07829594239025067,87
8901,1,0.4532519004613085,0.40732424626655395,0.0,0.2371356267435514,0.4855595018497726,156
9053,1,0.4938861257249564,0.4244671156671786,0.0,0.235556145095581,0.4870572190237316,187
9221,1,0.4773487943075504,0.40710251611108184,0.0,0.23069609228304463,0.4811790858407966,177
9540,1,0.4667390034220849,0.40999490532025584,0.0,0.23210531379439847,0.4803681690197505,183
9548,1,0.4466319915021428,0.40889174009890306,0.0,0.23229991905548425,0.4773153241448551,183
9856,1,0.4969151544068048,0.4151961178506878,0.0,0.23364878164913003,0.48681756502177365,186
10115,1,0.4678912821024783,0.40455582904370463,0.0,0.23349533752246399,0.4835715048136266,187
10310,1,0.4825079509313948,0.4044608554340574,0.0,0.23195923870957239,0.48562100951672826,183
10398,1,0.4970626874550727,0.41644748639633555,0.0,0.23219349557047803,0.4851667053947928,184
10609,1,0.4999131894206841,0.5931934425868249,1.0,0.2317861195535792,0.4878301779996886,184
10873,1,0.4837542014996122,0.5924330885980723,1.0,0.2344957557282528,0.4943436318036514,181
11914,1,0.3760866533401515,0.5757659967035726,1.0,0.23609577067820253,0.5092464774446599,179
11944,1,0.4030336097773898,0.5762210267267349,1.0,0.23756837824497834,0.5072239221042093,181
12397,1,0.4958093701781456,0.41438893296634904,0.0,0.23279131840592873,0.48517714039014476,186
12406,1,0.4845082433200682,0.42064060070508635,0.0,0.23488817569649453,0.4854603965705663,187
12693,1,0.4806795935489885,0.4202945006576292,0.0,0.2324563043086863,0.48138974389372396,179
12705,1,0.4997189432265317,0.5759884586313158,1.0,0.233516356438915,0.4849371792273504,175
12882,1,0.4976968553915346,0.4294615646919677,0.0,0.23616576190890176,0.48892562474603357,186
12894,1,0.0541625944024877,0.04409353217186895,0.0,0.033609499214160427,0.08875849240895724,184
13422,1,0.493863820030446,0.5814686513133753,1.0,0.2318952619046817,0.4858391553951756,184
13590,1,0.4986717337564107,0.41396487487757333,0.0,0.2302894559500248,0.48195995891918825,189
13650,1,0.4870096883050909,0.42238327831575656,0.0,0.23689963014987397,0.4889827149950338,189
13759,1,0.4803000346507409,0.4161601682196105,0.0,0.2322181683561063,0.4834680634239216,184
