pos,N,truth_vaf,mean_pooled_vaf,median_pooled_vaf,var_pooled_vaf,mean_abs_err,n_draws
4421,1,0.0379746835443038,0.012287663603453078,0.0,0.00439371668209479,0.04715330872892498,171
13772,1,0.0228426395939086,0.00021367521367521368,0.0,8.17262035210753e-06,0.02280250770098483,180
15438,1,0.0641025641025641,0.07138756813216628,0.0,0.030596229613142043,0.10734666060206245,189
4421,5,0.0379746835443038,0.01010415540100513,0.0,0.0016247155278980403,0.04186301231194969,200
13772,5,0.0228426395939086,0.0008333333333333333,0.0,3.473639455782313e-05,0.022762267343485586,200
15438,5,0.0641025641025641,0.06702677139709096,0.05298245614035088,0.0056741073920653804,0.05494269163153443,200
4421,25,0.0379746835443038,0.009444770111998579,0.0,0.00027001397064251183,0.030833502873386775,200
13772,25,0.0228426395939086,0.00033881592310327515,0.0,3.0474172837937397e-06,0.022503823670805324,200
15438,25,0.0641025641025641,0.07834425604031907,0.07255975263245863,0.001618359881724886,0.0317379042691903,200
4421,100,0.0379746835443038,0.010240028067989513,0.007633587786259542,0.00010252471788238526,0.028406277601488412,200
13772,100,0.0228426395939086,0.00028989224274628204,0.0,6.71512061537007e-07,0.022552747351162316,200
15438,100,0.0641025641025641,0.07882304810675021,0.07379717167461092,0.0007673940059071966,0.020992956852976336,200
4421,400,0.0379746835443038,0.010410894017848907,0.00949094753141564,2.610070868903397e-05,0.027563789526454895,200
13772,400,0.0228426395939086,0.0003580478165394903,0.00018148820326678765,2.039524961211408e-07,0.02248459177736911,200
15438,400,0.0641025641025641,0.07589123478859401,0.07360955580440462,0.00016161057995555932,0.013408869453701724,200
4421,1600,0.0379746835443038,0.01028382726006162,0.01007522774767097,4.257075827182906e-06,0.027690856284242175,200
13772,1600,0.0228426395939086,0.0003650846789953616,0.0003613098247879726,2.7305639591770904e-08,0.02247755491491324,200
15438,1600,0.0641025641025641,0.07837438185350065,0.078612829908116,3.4167374173706023e-05,0.014291946288630468,200
